#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-789117.9576086139,254.95122047762976,474.90188516788396
2000,-768954.1472374815,290.44005896146024,471.70114827102265
3000,-764256.1527227544,301.1865730105225,470.6681744087694
4000,-760500.8270933963,300.23018394384826,468.54775403288954
5000,-761824.8309189806,300.37787329466585,466.89051637643394
